Name;Vorname;Titel;Genre
Linklater;Richard;Slacker;Kinofilm
Linklater;Richard;Waking Life;Kinofilm
Loach;Ken;Land and Freedom;Kinofilm
Loach;Ken;The Wind that Shakes the Barley;Kinofilm
Gordon;Seth;The King of Kong;Dokumentarfilm
Lucas;George;THX 1138;Kinofilm
Lumet;Sidney;Dog Day Afternoon;Kinofilm
Lumet;Sidney;Network;Kinofilm
Lumet;Sidney;Serpico;Kinofilm
Joffe;Robert;The Mission;Kinofilm
Lumet;Sidney;Before The Devil Knows Youre Dead;Kinofilm
Brown;Margret;The Order of Myths;Dokumentarfilm
Lynch;David;Eraserhead;Kinofilm
Lynch;David;Inland Empire;Kinofilm
Lynch;David;Lost Highway;Kinofilm
Lynch;David;Mulholland Drive;Kinofilm
Altman;Robert;The Player;Kinofilm
Rafelson;Bob;The Postman Always Rings Twice;Kinofilm
Curtis;Adam;The Power of Nightmares;Dokumentarfilm
Lynch;David;The Elephant Man;Kinofilm
Yu;Jessica;The Protagonist;Dokumentarfilm
Lynch;David;The Straight Story;Kinofilm
Lynch;David;Wild at Heart;Kinofilm
Malick;Terrence;Badlands;Kinofilm
OphÙls;Marcel;The Sorrow and the Pity;Dokumentarfilm
Malick;Terrence;Days of Heaven;Kinofilm
Malle;Louis;Atlantic City, USA;Kinofilm
Morris;Errol;The Thin Blue Line;Dokumentarfilm
Malick;Terrence;The Thin Red Line;Kinofilm
Epstein;Rob;The Times of Harvey Milk;Dokumentarfilm
Manas;Achero;El Bola;Kinofilm
De Palma;Brian;The Untouchables;Kinofilm
Mangold;James;Identit_t;Kinofilm
Kaufman;Phillip;The Wanderers;Kinofilm
Mangold;James;Walk the Line;Kinofilm
Green;Sam;The Weather Underground;Dokumentarfilm
Mankiewicz;Joseph;All about Eve;Kinofilm
Mann;Delbert;All Quiet on the Western Front;Kinofilm
Mann;Michael;The Insider;Kinofilm
Marquand;Christian;Candy;Kinofilm
Martel;Lurecia;The Headless Woman;Kinofilm
Markey;David;The year punk broke;Dokumentarfilm
Ollman;Dan;The Yes Men;Dokumentarfilm
McCarthy;Thomas;The Station Agent;Kinofilm
McNaughton;John;Wild Things;Kinofilm
Martin;Steven M.;Theremin: An Electronic Odyssey;Dokumentarfilm
Caton-Jones;Michael;This Boy's Life;Kinofilm
Meadows;Shaun;this is England;Kinofilm
McQueen;Steve;Hunger;Kinofilm
McTeigue;James;V for Vendetta;Kinofilm
Mendes;Sam;American Beauty;Kinofilm
Wiseman;Frederick;Titicut Follies;Dokumentarfilm
Merhige;Elias;Shadow of the Vampire;Kinofilm
Milestone;Lewis;All Quiet on the Western Front;Kinofilm
Mills;Mike;Thumbsucker;Kinofilm
Miyazaki;Hayao;My Neighbour Totoro;Kinofilm
Boyle;Danny;Trainspotting;Kinofilm
Moodysson;Lukas;Tillsammans;Kinofilm
Moretti;Nanni;Habemus Papam;Kinofilm
Lynch;David;Twin Peaks;Serie
de Antonio;Emile;Underground;Dokumentarfilm
Morrison;Phil;Junebug;Kinofilm
Fothergill;Alastair;Unsere Erde;Dokumentarfilm
MÙller;Hanns Christian;Tatort ...und wenn die Musi spielt;Kinofilm
Mulligan;Robert;To Kill A Mockingbird;Kinofilm
Hitchcock;Alfred;Vertigo;Kinofilm
Zweig;Allan;Vinyl;Dokumentarfilm
Coppola;Sophia;Virgin Suicides;Kinofilm
Murnberger;Wolfgang;Der Knochenmann;Kinofilm
Murnberger;Wolfgang;Silentium;Kinofilm
Gazecki;William;Waco: The Rules of Engagement;Dokumentarfilm
Murnberger;Wolfgang;Komm, sÙ¤er Tod;Kinofilm
Nicholas;Ray;Rebel Without A Cause;Kinofilm
Nichols;Mike;Catch-22;Kinofilm
